,Product_Name,Price,Description
114,"ASUS ROG Flow X16 (2022), 16""(40.64 cm) QHD+ 16:10 165Hz/3ms Touch, AMD Ryzen 7 6800HS, 6GB RTX 3060, 2-in-1 Gaming Laptop (16GB/1TB SSD/90WHrs Battery/Win 11/with Office/Gray/2 Kg), GV601RM-M6054WS  ","1,56,990","X16 (2022), 16""(40.64 cm) QHD+ 16:10 165Hz/3ms Touch, AMD Ryzen 7 6800HS, 6GB RTX 3060, 2-in-1 Gaming Laptop (16GB/1TB SSD/90WHrs Battery/Win 11/with Office/Gray/2 Kg), GV601RM-M6054WS  "
115,"HP Victus Gaming Laptop 12th Gen Intel Core i5-12450H 15.6 inch(39.6 cm) FHD IPS Gaming Laptop(16GB RAM/512GB SSD/NVIDIA GeForce RTX 3050 graphics/144Hz/Backlit KB/B&O/Alexa/Xbox),15-fa0666TX  ","71,990","Laptop 12th Gen Intel Core i5-12450H 15.6 inch(39.6 cm) FHD IPS Gaming Laptop(16GB RAM/512GB SSD/NVIDIA GeForce RTX 3050 graphics/144Hz/Backlit KB/B&O/Alexa/Xbox),15-fa0666TX  "
116,"Apple 2023 MacBook Pro Laptop M2 Pro chip with 10‑core CPU and 16‑core GPU: 33.74 cm (14.2-inch), 16GB Unified Memory, 512GB SSD Storage. Works with iPhone/iPad; Space Grey  ","1,99,900","Pro Laptop M2 Pro chip with 10‑core CPU and 16‑core GPU: 33.74 cm (14.2-inch), 16GB Unified Memory, 512GB SSD Storage. Works with iPhone/iPad; Space Grey  "
117,"Acer Predator Helios Neo 16 Gaming Laptop 13th Gen Intel Core i7 Processor (16 GB/1 TB SSD/Windows 11 Home/NVIDIA® GeForce RTX™ 4050) PHN16-71, (16"") WUXGA Display  ","1,29,990","Neo 16 Gaming Laptop 13th Gen Intel Core i7 Processor (16 GB/1 TB SSD/Windows 11 Home/NVIDIA® GeForce RTX™ 4050) PHN16-71, (16"") WUXGA Display  "
118,"GIGABYTE AORUS 15 XE5, 15.6"" Inch QHD 165Hz, Intel Core i7-12700H 12th Gen, RTX 3070Ti 8GB Graphics, Gaming Laptop (16GB DDR5 Memory/Windows 11 Home/ Gen4 1TB SSD/Office 365 / Black)  ","1,31,990","XE5, 15.6"" Inch QHD 165Hz, Intel Core i7-12700H 12th Gen, RTX 3070Ti 8GB Graphics, Gaming Laptop (16GB DDR5 Memory/Windows 11 Home/ Gen4 1TB SSD/Office 365 / Black)  "
119,"ASUS TUF Gaming A15, 15.6-inch (39.62 cms) FHD 144Hz, AMD Ryzen 5 4600H, 4GB NVIDIA GeForce GTX 1650, Gaming Laptop (8GB/512GB SSD/Windows 11/Black/2.3 Kg), FA506IHRZ-HN111W  ","49,990","A15, 15.6-inch (39.62 cms) FHD 144Hz, AMD Ryzen 5 4600H, 4GB NVIDIA GeForce GTX 1650, Gaming Laptop (8GB/512GB SSD/Windows 11/Black/2.3 Kg), FA506IHRZ-HN111W  "
120,"Dell Vostro 3420 Laptop,Intel i5-1135G7/8GB/512GB SSD/14.0""(35.56cm)FHD Display+TÜV Rheinland Certified Comfortview to Reduce Harmful Blue Light Emissions/Windows11+MSO'21/15 Month McAfee/Black/1.48kg  ","48,490","Laptop,Intel i5-1135G7/8GB/512GB SSD/14.0""(35.56cm)FHD Display+TÜV Rheinland Certified Comfortview to Reduce Harmful Blue Light Emissions/Windows11+MSO'21/15 Month McAfee/Black/1.48kg  "
121,"ASUS Zenbook Pro Duo 15 OLED (2022),15.6""(39.62 cms) 4K OLED Touch,Intel Core i7-12700H 12th Gen,Dual Screen Laptop(32GB/1TB SSD/6GB GeForce RTX 3060/Windows 11/Office 2021/Blue/2.3 kg),UX582ZM-H701WS  ","1,99,990","Duo 15 OLED (2022),15.6""(39.62 cms) 4K OLED Touch,Intel Core i7-12700H 12th Gen,Dual Screen Laptop(32GB/1TB SSD/6GB GeForce RTX 3060/Windows 11/Office 2021/Blue/2.3 kg),UX582ZM-H701WS  "
122,"ASUS ROG Zephyrus G15(2022), 15.6"" (39.62 cms) 2K WQHD 240Hz/3ms, AMD Ryzen 9 6900HS, 8GB RTX 3070 Ti, Gaming Laptop (16GB/1TB SSD/90WHrs Battery/Windows 11/Office 2021/White/1.9 Kg), GA503RW-LN066WS  ","1,79,990","G15(2022), 15.6"" (39.62 cms) 2K WQHD 240Hz/3ms, AMD Ryzen 9 6900HS, 8GB RTX 3070 Ti, Gaming Laptop (16GB/1TB SSD/90WHrs Battery/Windows 11/Office 2021/White/1.9 Kg), GA503RW-LN066WS  "
123,"Acer One 14 Business Laptop Intel Core i5 1135G7 (16GB RAM/512GB SSD/Windows 11 Home/MS Office Home and Student) Z8-415 with 35.56 cm (14.0"") Full HD Display (Silver)  ","44,990","Business Laptop Intel Core i5 1135G7 (16GB RAM/512GB SSD/Windows 11 Home/MS Office Home and Student) Z8-415 with 35.56 cm (14.0"") Full HD Display (Silver)  "
124,Acer Extensa 15 Laptop Intel Core i3 N305 8 core Processor (8 GB/256 GB SSD/Win11 Home/MS Office Home and Student/Intel UHD Graphics/1.7 KG/Silver) EX215-33 FHD Display  ,"31,990",Laptop Intel Core i3 N305 8 core Processor (8 GB/256 GB SSD/Win11 Home/MS Office Home and Student/Intel UHD Graphics/1.7 KG/Silver) EX215-33 FHD Display  
125,"Dell Vostro 3510 Laptop,Intel i5-1135G7/8GB/1TB+256GB SSD/15.6""(39.62cm)FHD,TÜV Rheinland Certified ComfortviewReduce Harmful Blue Light/Backlit KB + FPR/Windows 11+MSO'21/15 Month McAfee/Black/1.69kg  ","52,490","Laptop,Intel i5-1135G7/8GB/1TB+256GB SSD/15.6""(39.62cm)FHD,TÜV Rheinland Certified ComfortviewReduce Harmful Blue Light/Backlit KB + FPR/Windows 11+MSO'21/15 Month McAfee/Black/1.69kg  "
126,"HP Laptop 15s, 12th Gen Intel Core i5-1235U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, Intel Iris Xe Graphics, Backlit KB, Thin & Light (Win 11, MSO 2021, Silver, 1.69 kg), fq5111TU  ","54,490","12th Gen Intel Core i5-1235U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, Intel Iris Xe Graphics, Backlit KB, Thin & Light (Win 11, MSO 2021, Silver, 1.69 kg), fq5111TU  "
127,"Honor MagicBook 14, AMD Ryzen 5 5500U 14-inch (35.56 cm) FHD IPS Anti-Glare Thin and Light Laptop (16GB/512GB PCIe SSD/Windows 11/Fingerprint Login/Metal Body/Backlit KB/1.38Kg), Gray, NobelM-WFQ9AHNE  ","41,990","AMD Ryzen 5 5500U 14-inch (35.56 cm) FHD IPS Anti-Glare Thin and Light Laptop (16GB/512GB PCIe SSD/Windows 11/Fingerprint Login/Metal Body/Backlit KB/1.38Kg), Gray, NobelM-WFQ9AHNE  "
128,"Lenovo V15 Intel Celeron N4500 15.6"" (39.62 cm) FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (8GB RAM/256GB SSD/Windows 11 Home/Black/1Y Onsite/1.7 kg), 82QYA00MIN  ","23,319","Celeron N4500 15.6"" (39.62 cm) FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (8GB RAM/256GB SSD/Windows 11 Home/Black/1Y Onsite/1.7 kg), 82QYA00MIN  "
129,"ASUS ProArt Studiobook 16 OLED (2022) Dial, 16.0"" (40.64 cms) 4K OLED, Intel Core i9 12th Gen, Laptop (16GB/1TB SSD/6GB RTX 3060 Graphics/Windows 11/Office 2021/Black/2.4 Kg) H7600ZM-L901WS  ","1,99,480","16 OLED (2022) Dial, 16.0"" (40.64 cms) 4K OLED, Intel Core i9 12th Gen, Laptop (16GB/1TB SSD/6GB RTX 3060 Graphics/Windows 11/Office 2021/Black/2.4 Kg) H7600ZM-L901WS  "
130,"ASUS ROG Flow X16 (2022), 16""(40.64 cm) QHD+ 16:10 165Hz/3ms Touch, AMD Ryzen 7 6800HS, 6GB RTX 3060, 2-in-1 Gaming Laptop (16GB/1TB SSD/90WHrs Battery/Win 11/with Office/Gray/2 Kg), GV601RM-M6054WS  ","1,56,990","X16 (2022), 16""(40.64 cm) QHD+ 16:10 165Hz/3ms Touch, AMD Ryzen 7 6800HS, 6GB RTX 3060, 2-in-1 Gaming Laptop (16GB/1TB SSD/90WHrs Battery/Win 11/with Office/Gray/2 Kg), GV601RM-M6054WS  "
131,"HP Victus Gaming Laptop 12th Gen Intel Core i5-12450H 15.6 inch(39.6 cm) FHD IPS Gaming Laptop(16GB RAM/512GB SSD/NVIDIA GeForce RTX 3050 graphics/144Hz/Backlit KB/B&O/Alexa/Xbox),15-fa0666TX  ","71,990","Laptop 12th Gen Intel Core i5-12450H 15.6 inch(39.6 cm) FHD IPS Gaming Laptop(16GB RAM/512GB SSD/NVIDIA GeForce RTX 3050 graphics/144Hz/Backlit KB/B&O/Alexa/Xbox),15-fa0666TX  "
132,"Apple 2023 MacBook Pro Laptop M2 Pro chip with 10‑core CPU and 16‑core GPU: 33.74 cm (14.2-inch), 16GB Unified Memory, 512GB SSD Storage. Works with iPhone/iPad; Space Grey  ","1,99,900","Pro Laptop M2 Pro chip with 10‑core CPU and 16‑core GPU: 33.74 cm (14.2-inch), 16GB Unified Memory, 512GB SSD Storage. Works with iPhone/iPad; Space Grey  "
133,"Acer Predator Helios Neo 16 Gaming Laptop 13th Gen Intel Core i7 Processor (16 GB/1 TB SSD/Windows 11 Home/NVIDIA® GeForce RTX™ 4050) PHN16-71, (16"") WUXGA Display  ","1,29,990","Neo 16 Gaming Laptop 13th Gen Intel Core i7 Processor (16 GB/1 TB SSD/Windows 11 Home/NVIDIA® GeForce RTX™ 4050) PHN16-71, (16"") WUXGA Display  "
134,"GIGABYTE AORUS 15 XE5, 15.6"" Inch QHD 165Hz, Intel Core i7-12700H 12th Gen, RTX 3070Ti 8GB Graphics, Gaming Laptop (16GB DDR5 Memory/Windows 11 Home/ Gen4 1TB SSD/Office 365 / Black)  ","1,31,990","XE5, 15.6"" Inch QHD 165Hz, Intel Core i7-12700H 12th Gen, RTX 3070Ti 8GB Graphics, Gaming Laptop (16GB DDR5 Memory/Windows 11 Home/ Gen4 1TB SSD/Office 365 / Black)  "
135,"ASUS TUF Gaming A15, 15.6-inch (39.62 cms) FHD 144Hz, AMD Ryzen 5 4600H, 4GB NVIDIA GeForce GTX 1650, Gaming Laptop (8GB/512GB SSD/Windows 11/Black/2.3 Kg), FA506IHRZ-HN111W  ","49,990","A15, 15.6-inch (39.62 cms) FHD 144Hz, AMD Ryzen 5 4600H, 4GB NVIDIA GeForce GTX 1650, Gaming Laptop (8GB/512GB SSD/Windows 11/Black/2.3 Kg), FA506IHRZ-HN111W  "
136,"Dell Vostro 3420 Laptop,Intel i5-1135G7/8GB/512GB SSD/14.0""(35.56cm)FHD Display+TÜV Rheinland Certified Comfortview to Reduce Harmful Blue Light Emissions/Windows11+MSO'21/15 Month McAfee/Black/1.48kg  ","48,490","Laptop,Intel i5-1135G7/8GB/512GB SSD/14.0""(35.56cm)FHD Display+TÜV Rheinland Certified Comfortview to Reduce Harmful Blue Light Emissions/Windows11+MSO'21/15 Month McAfee/Black/1.48kg  "
137,"ASUS Zenbook Pro Duo 15 OLED (2022),15.6""(39.62 cms) 4K OLED Touch,Intel Core i7-12700H 12th Gen,Dual Screen Laptop(32GB/1TB SSD/6GB GeForce RTX 3060/Windows 11/Office 2021/Blue/2.3 kg),UX582ZM-H701WS  ","1,99,990","Duo 15 OLED (2022),15.6""(39.62 cms) 4K OLED Touch,Intel Core i7-12700H 12th Gen,Dual Screen Laptop(32GB/1TB SSD/6GB GeForce RTX 3060/Windows 11/Office 2021/Blue/2.3 kg),UX582ZM-H701WS  "
138,"ASUS ROG Zephyrus G15(2022), 15.6"" (39.62 cms) 2K WQHD 240Hz/3ms, AMD Ryzen 9 6900HS, 8GB RTX 3070 Ti, Gaming Laptop (16GB/1TB SSD/90WHrs Battery/Windows 11/Office 2021/White/1.9 Kg), GA503RW-LN066WS  ","1,79,990","G15(2022), 15.6"" (39.62 cms) 2K WQHD 240Hz/3ms, AMD Ryzen 9 6900HS, 8GB RTX 3070 Ti, Gaming Laptop (16GB/1TB SSD/90WHrs Battery/Windows 11/Office 2021/White/1.9 Kg), GA503RW-LN066WS  "
139,"Acer One 14 Business Laptop Intel Core i5 1135G7 (16GB RAM/512GB SSD/Windows 11 Home/MS Office Home and Student) Z8-415 with 35.56 cm (14.0"") Full HD Display (Silver)  ","44,990","Business Laptop Intel Core i5 1135G7 (16GB RAM/512GB SSD/Windows 11 Home/MS Office Home and Student) Z8-415 with 35.56 cm (14.0"") Full HD Display (Silver)  "
140,Acer Extensa 15 Laptop Intel Core i3 N305 8 core Processor (8 GB/256 GB SSD/Win11 Home/MS Office Home and Student/Intel UHD Graphics/1.7 KG/Silver) EX215-33 FHD Display  ,"31,990",Laptop Intel Core i3 N305 8 core Processor (8 GB/256 GB SSD/Win11 Home/MS Office Home and Student/Intel UHD Graphics/1.7 KG/Silver) EX215-33 FHD Display  
141,"Dell Vostro 3510 Laptop,Intel i5-1135G7/8GB/1TB+256GB SSD/15.6""(39.62cm)FHD,TÜV Rheinland Certified ComfortviewReduce Harmful Blue Light/Backlit KB + FPR/Windows 11+MSO'21/15 Month McAfee/Black/1.69kg  ","52,490","Laptop,Intel i5-1135G7/8GB/1TB+256GB SSD/15.6""(39.62cm)FHD,TÜV Rheinland Certified ComfortviewReduce Harmful Blue Light/Backlit KB + FPR/Windows 11+MSO'21/15 Month McAfee/Black/1.69kg  "
142,"HP Laptop 15s, 12th Gen Intel Core i5-1235U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, Intel Iris Xe Graphics, Backlit KB, Thin & Light (Win 11, MSO 2021, Silver, 1.69 kg), fq5111TU  ","54,490","12th Gen Intel Core i5-1235U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, Intel Iris Xe Graphics, Backlit KB, Thin & Light (Win 11, MSO 2021, Silver, 1.69 kg), fq5111TU  "
143,"Honor MagicBook 14, AMD Ryzen 5 5500U 14-inch (35.56 cm) FHD IPS Anti-Glare Thin and Light Laptop (16GB/512GB PCIe SSD/Windows 11/Fingerprint Login/Metal Body/Backlit KB/1.38Kg), Gray, NobelM-WFQ9AHNE  ","41,990","AMD Ryzen 5 5500U 14-inch (35.56 cm) FHD IPS Anti-Glare Thin and Light Laptop (16GB/512GB PCIe SSD/Windows 11/Fingerprint Login/Metal Body/Backlit KB/1.38Kg), Gray, NobelM-WFQ9AHNE  "
144,"Lenovo V15 Intel Celeron N4500 15.6"" (39.62 cm) FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (8GB RAM/256GB SSD/Windows 11 Home/Black/1Y Onsite/1.7 kg), 82QYA00MIN  ","23,319","Celeron N4500 15.6"" (39.62 cm) FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (8GB RAM/256GB SSD/Windows 11 Home/Black/1Y Onsite/1.7 kg), 82QYA00MIN  "
145,"ASUS ProArt Studiobook 16 OLED (2022) Dial, 16.0"" (40.64 cms) 4K OLED, Intel Core i9 12th Gen, Laptop (16GB/1TB SSD/6GB RTX 3060 Graphics/Windows 11/Office 2021/Black/2.4 Kg) H7600ZM-L901WS  ","1,99,480","16 OLED (2022) Dial, 16.0"" (40.64 cms) 4K OLED, Intel Core i9 12th Gen, Laptop (16GB/1TB SSD/6GB RTX 3060 Graphics/Windows 11/Office 2021/Black/2.4 Kg) H7600ZM-L901WS  "
146,"ASUS ROG Flow X16 (2022), 16""(40.64 cm) QHD+ 16:10 165Hz/3ms Touch, AMD Ryzen 7 6800HS, 6GB RTX 3060, 2-in-1 Gaming Laptop (16GB/1TB SSD/90WHrs Battery/Win 11/with Office/Gray/2 Kg), GV601RM-M6054WS  ","1,56,990","X16 (2022), 16""(40.64 cm) QHD+ 16:10 165Hz/3ms Touch, AMD Ryzen 7 6800HS, 6GB RTX 3060, 2-in-1 Gaming Laptop (16GB/1TB SSD/90WHrs Battery/Win 11/with Office/Gray/2 Kg), GV601RM-M6054WS  "
147,"HP Victus Gaming Laptop 12th Gen Intel Core i5-12450H 15.6 inch(39.6 cm) FHD IPS Gaming Laptop(16GB RAM/512GB SSD/NVIDIA GeForce RTX 3050 graphics/144Hz/Backlit KB/B&O/Alexa/Xbox),15-fa0666TX  ","71,990","Laptop 12th Gen Intel Core i5-12450H 15.6 inch(39.6 cm) FHD IPS Gaming Laptop(16GB RAM/512GB SSD/NVIDIA GeForce RTX 3050 graphics/144Hz/Backlit KB/B&O/Alexa/Xbox),15-fa0666TX  "
148,"Apple 2023 MacBook Pro Laptop M2 Pro chip with 10‑core CPU and 16‑core GPU: 33.74 cm (14.2-inch), 16GB Unified Memory, 512GB SSD Storage. Works with iPhone/iPad; Space Grey  ","1,99,900","Pro Laptop M2 Pro chip with 10‑core CPU and 16‑core GPU: 33.74 cm (14.2-inch), 16GB Unified Memory, 512GB SSD Storage. Works with iPhone/iPad; Space Grey  "
149,"Acer Predator Helios Neo 16 Gaming Laptop 13th Gen Intel Core i7 Processor (16 GB/1 TB SSD/Windows 11 Home/NVIDIA® GeForce RTX™ 4050) PHN16-71, (16"") WUXGA Display  ","1,29,990","Neo 16 Gaming Laptop 13th Gen Intel Core i7 Processor (16 GB/1 TB SSD/Windows 11 Home/NVIDIA® GeForce RTX™ 4050) PHN16-71, (16"") WUXGA Display  "
150,"GIGABYTE AORUS 15 XE5, 15.6"" Inch QHD 165Hz, Intel Core i7-12700H 12th Gen, RTX 3070Ti 8GB Graphics, Gaming Laptop (16GB DDR5 Memory/Windows 11 Home/ Gen4 1TB SSD/Office 365 / Black)  ","1,31,990","XE5, 15.6"" Inch QHD 165Hz, Intel Core i7-12700H 12th Gen, RTX 3070Ti 8GB Graphics, Gaming Laptop (16GB DDR5 Memory/Windows 11 Home/ Gen4 1TB SSD/Office 365 / Black)  "
151,"ASUS TUF Gaming A15, 15.6-inch (39.62 cms) FHD 144Hz, AMD Ryzen 5 4600H, 4GB NVIDIA GeForce GTX 1650, Gaming Laptop (8GB/512GB SSD/Windows 11/Black/2.3 Kg), FA506IHRZ-HN111W  ","49,990","A15, 15.6-inch (39.62 cms) FHD 144Hz, AMD Ryzen 5 4600H, 4GB NVIDIA GeForce GTX 1650, Gaming Laptop (8GB/512GB SSD/Windows 11/Black/2.3 Kg), FA506IHRZ-HN111W  "
152,"Dell Vostro 3420 Laptop,Intel i5-1135G7/8GB/512GB SSD/14.0""(35.56cm)FHD Display+TÜV Rheinland Certified Comfortview to Reduce Harmful Blue Light Emissions/Windows11+MSO'21/15 Month McAfee/Black/1.48kg  ","48,490","Laptop,Intel i5-1135G7/8GB/512GB SSD/14.0""(35.56cm)FHD Display+TÜV Rheinland Certified Comfortview to Reduce Harmful Blue Light Emissions/Windows11+MSO'21/15 Month McAfee/Black/1.48kg  "
153,"ASUS Zenbook Pro Duo 15 OLED (2022),15.6""(39.62 cms) 4K OLED Touch,Intel Core i7-12700H 12th Gen,Dual Screen Laptop(32GB/1TB SSD/6GB GeForce RTX 3060/Windows 11/Office 2021/Blue/2.3 kg),UX582ZM-H701WS  ","1,99,990","Duo 15 OLED (2022),15.6""(39.62 cms) 4K OLED Touch,Intel Core i7-12700H 12th Gen,Dual Screen Laptop(32GB/1TB SSD/6GB GeForce RTX 3060/Windows 11/Office 2021/Blue/2.3 kg),UX582ZM-H701WS  "
154,"ASUS ROG Zephyrus G15(2022), 15.6"" (39.62 cms) 2K WQHD 240Hz/3ms, AMD Ryzen 9 6900HS, 8GB RTX 3070 Ti, Gaming Laptop (16GB/1TB SSD/90WHrs Battery/Windows 11/Office 2021/White/1.9 Kg), GA503RW-LN066WS  ","1,79,990","G15(2022), 15.6"" (39.62 cms) 2K WQHD 240Hz/3ms, AMD Ryzen 9 6900HS, 8GB RTX 3070 Ti, Gaming Laptop (16GB/1TB SSD/90WHrs Battery/Windows 11/Office 2021/White/1.9 Kg), GA503RW-LN066WS  "
155,"Acer One 14 Business Laptop Intel Core i5 1135G7 (16GB RAM/512GB SSD/Windows 11 Home/MS Office Home and Student) Z8-415 with 35.56 cm (14.0"") Full HD Display (Silver)  ","44,990","Business Laptop Intel Core i5 1135G7 (16GB RAM/512GB SSD/Windows 11 Home/MS Office Home and Student) Z8-415 with 35.56 cm (14.0"") Full HD Display (Silver)  "
156,Acer Extensa 15 Laptop Intel Core i3 N305 8 core Processor (8 GB/256 GB SSD/Win11 Home/MS Office Home and Student/Intel UHD Graphics/1.7 KG/Silver) EX215-33 FHD Display  ,"31,990",Laptop Intel Core i3 N305 8 core Processor (8 GB/256 GB SSD/Win11 Home/MS Office Home and Student/Intel UHD Graphics/1.7 KG/Silver) EX215-33 FHD Display  
157,"Dell Vostro 3510 Laptop,Intel i5-1135G7/8GB/1TB+256GB SSD/15.6""(39.62cm)FHD,TÜV Rheinland Certified ComfortviewReduce Harmful Blue Light/Backlit KB + FPR/Windows 11+MSO'21/15 Month McAfee/Black/1.69kg  ","52,490","Laptop,Intel i5-1135G7/8GB/1TB+256GB SSD/15.6""(39.62cm)FHD,TÜV Rheinland Certified ComfortviewReduce Harmful Blue Light/Backlit KB + FPR/Windows 11+MSO'21/15 Month McAfee/Black/1.69kg  "
158,"HP Laptop 15s, 12th Gen Intel Core i5-1235U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, Intel Iris Xe Graphics, Backlit KB, Thin & Light (Win 11, MSO 2021, Silver, 1.69 kg), fq5111TU  ","54,490","12th Gen Intel Core i5-1235U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, Intel Iris Xe Graphics, Backlit KB, Thin & Light (Win 11, MSO 2021, Silver, 1.69 kg), fq5111TU  "
159,"Honor MagicBook 14, AMD Ryzen 5 5500U 14-inch (35.56 cm) FHD IPS Anti-Glare Thin and Light Laptop (16GB/512GB PCIe SSD/Windows 11/Fingerprint Login/Metal Body/Backlit KB/1.38Kg), Gray, NobelM-WFQ9AHNE  ","41,990","AMD Ryzen 5 5500U 14-inch (35.56 cm) FHD IPS Anti-Glare Thin and Light Laptop (16GB/512GB PCIe SSD/Windows 11/Fingerprint Login/Metal Body/Backlit KB/1.38Kg), Gray, NobelM-WFQ9AHNE  "
160,"Lenovo V15 Intel Celeron N4500 15.6"" (39.62 cm) FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (8GB RAM/256GB SSD/Windows 11 Home/Black/1Y Onsite/1.7 kg), 82QYA00MIN  ","23,319","Celeron N4500 15.6"" (39.62 cm) FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (8GB RAM/256GB SSD/Windows 11 Home/Black/1Y Onsite/1.7 kg), 82QYA00MIN  "
161,"ASUS ProArt Studiobook 16 OLED (2022) Dial, 16.0"" (40.64 cms) 4K OLED, Intel Core i9 12th Gen, Laptop (16GB/1TB SSD/6GB RTX 3060 Graphics/Windows 11/Office 2021/Black/2.4 Kg) H7600ZM-L901WS  ","1,99,480","16 OLED (2022) Dial, 16.0"" (40.64 cms) 4K OLED, Intel Core i9 12th Gen, Laptop (16GB/1TB SSD/6GB RTX 3060 Graphics/Windows 11/Office 2021/Black/2.4 Kg) H7600ZM-L901WS  "
162,"ASUS ROG Flow X16 (2022), 16""(40.64 cm) QHD+ 16:10 165Hz/3ms Touch, AMD Ryzen 7 6800HS, 6GB RTX 3060, 2-in-1 Gaming Laptop (16GB/1TB SSD/90WHrs Battery/Win 11/with Office/Gray/2 Kg), GV601RM-M6054WS  ","1,56,990","X16 (2022), 16""(40.64 cm) QHD+ 16:10 165Hz/3ms Touch, AMD Ryzen 7 6800HS, 6GB RTX 3060, 2-in-1 Gaming Laptop (16GB/1TB SSD/90WHrs Battery/Win 11/with Office/Gray/2 Kg), GV601RM-M6054WS  "
163,"HP Victus Gaming Laptop 12th Gen Intel Core i5-12450H 15.6 inch(39.6 cm) FHD IPS Gaming Laptop(16GB RAM/512GB SSD/NVIDIA GeForce RTX 3050 graphics/144Hz/Backlit KB/B&O/Alexa/Xbox),15-fa0666TX  ","71,990","Laptop 12th Gen Intel Core i5-12450H 15.6 inch(39.6 cm) FHD IPS Gaming Laptop(16GB RAM/512GB SSD/NVIDIA GeForce RTX 3050 graphics/144Hz/Backlit KB/B&O/Alexa/Xbox),15-fa0666TX  "
164,"Apple 2023 MacBook Pro Laptop M2 Pro chip with 10‑core CPU and 16‑core GPU: 33.74 cm (14.2-inch), 16GB Unified Memory, 512GB SSD Storage. Works with iPhone/iPad; Space Grey  ","1,99,900","Pro Laptop M2 Pro chip with 10‑core CPU and 16‑core GPU: 33.74 cm (14.2-inch), 16GB Unified Memory, 512GB SSD Storage. Works with iPhone/iPad; Space Grey  "
165,"Acer Predator Helios Neo 16 Gaming Laptop 13th Gen Intel Core i7 Processor (16 GB/1 TB SSD/Windows 11 Home/NVIDIA® GeForce RTX™ 4050) PHN16-71, (16"") WUXGA Display  ","1,29,990","Neo 16 Gaming Laptop 13th Gen Intel Core i7 Processor (16 GB/1 TB SSD/Windows 11 Home/NVIDIA® GeForce RTX™ 4050) PHN16-71, (16"") WUXGA Display  "
166,"GIGABYTE AORUS 15 XE5, 15.6"" Inch QHD 165Hz, Intel Core i7-12700H 12th Gen, RTX 3070Ti 8GB Graphics, Gaming Laptop (16GB DDR5 Memory/Windows 11 Home/ Gen4 1TB SSD/Office 365 / Black)  ","1,31,990","XE5, 15.6"" Inch QHD 165Hz, Intel Core i7-12700H 12th Gen, RTX 3070Ti 8GB Graphics, Gaming Laptop (16GB DDR5 Memory/Windows 11 Home/ Gen4 1TB SSD/Office 365 / Black)  "
167,"ASUS TUF Gaming A15, 15.6-inch (39.62 cms) FHD 144Hz, AMD Ryzen 5 4600H, 4GB NVIDIA GeForce GTX 1650, Gaming Laptop (8GB/512GB SSD/Windows 11/Black/2.3 Kg), FA506IHRZ-HN111W  ","49,990","A15, 15.6-inch (39.62 cms) FHD 144Hz, AMD Ryzen 5 4600H, 4GB NVIDIA GeForce GTX 1650, Gaming Laptop (8GB/512GB SSD/Windows 11/Black/2.3 Kg), FA506IHRZ-HN111W  "
168,"Dell Vostro 3420 Laptop,Intel i5-1135G7/8GB/512GB SSD/14.0""(35.56cm)FHD Display+TÜV Rheinland Certified Comfortview to Reduce Harmful Blue Light Emissions/Windows11+MSO'21/15 Month McAfee/Black/1.48kg  ","48,490","Laptop,Intel i5-1135G7/8GB/512GB SSD/14.0""(35.56cm)FHD Display+TÜV Rheinland Certified Comfortview to Reduce Harmful Blue Light Emissions/Windows11+MSO'21/15 Month McAfee/Black/1.48kg  "
169,"ASUS Zenbook Pro Duo 15 OLED (2022),15.6""(39.62 cms) 4K OLED Touch,Intel Core i7-12700H 12th Gen,Dual Screen Laptop(32GB/1TB SSD/6GB GeForce RTX 3060/Windows 11/Office 2021/Blue/2.3 kg),UX582ZM-H701WS  ","1,99,990","Duo 15 OLED (2022),15.6""(39.62 cms) 4K OLED Touch,Intel Core i7-12700H 12th Gen,Dual Screen Laptop(32GB/1TB SSD/6GB GeForce RTX 3060/Windows 11/Office 2021/Blue/2.3 kg),UX582ZM-H701WS  "
170,"ASUS ROG Zephyrus G15(2022), 15.6"" (39.62 cms) 2K WQHD 240Hz/3ms, AMD Ryzen 9 6900HS, 8GB RTX 3070 Ti, Gaming Laptop (16GB/1TB SSD/90WHrs Battery/Windows 11/Office 2021/White/1.9 Kg), GA503RW-LN066WS  ","1,79,990","G15(2022), 15.6"" (39.62 cms) 2K WQHD 240Hz/3ms, AMD Ryzen 9 6900HS, 8GB RTX 3070 Ti, Gaming Laptop (16GB/1TB SSD/90WHrs Battery/Windows 11/Office 2021/White/1.9 Kg), GA503RW-LN066WS  "
